codigo,exist_edu,exist_cult,exist_patr,exist_saude,exist_assist,exist_seg_al,exist_dir_mulh,exist_cri_adol,atv_edu,atv_cult,atv_patri,atv_saude,atv_assist,atv_seg_al,atv_dir_mulh,atv_cri_adol,delib_edu,delib_cult,delib_pres_patri,delib_saude,delib_seg_al,delib_cri_adol,consult_sau,consult_seg_al,consult_cri_adol,consult_educ,consult_cult,consult_patri,norm_edu,norm_cult,norm_patri,norm_sau,norm_seg_ali,norm_cri_adol,fisc_edu,fisc_cult,fisc_patri,fisc_sau,fisc_seg_ali,fisc_cri_adol,d_atv_edu,d_atv_cult,d_atv_patri,d_atv_saude,d_atv_assist,d_atv_seg_al,d_atv_dir_mulh,d_atv_cri_adol,soma_exist_cons,soma_atv_cons,soma_delib_cons,soma_consult_cons,soma_norm_cons,soma_fisc_cons,eq1_exist,eq1_atv,eq1_delib,eq1_consult,eq1_norm,eq1_fisc,grau_part,municipio,estado,_merge
1100189,1,1,0,1,1,0,1,1,44,0,0,7,4,0,0,12,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,4,4,4,2,3,3,3.5,3.5,4.3333335,2.6666667,3.5,3.5,3.7666667,Prefeitura Municipal de Pimenta Bueno - RO,RO,matched (3)
1100205,1,1,0,1,1,1,1,1,48,10,0,18,14,10,12,16,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,7,7,4,5,2,3,5.375,5.375,4.3333335,5.1666665,2.6666667,3.5,4.4000001,Prefeitura Municipal de Porto Velho - RO,RO,matched (3)
1100254,0,0,0,1,1,0,0,1,0,0,0,12,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,2,2,0,1,1,2.875,2.25,2.6666667,1,1.8333334,1.8333334,2.2750001,Prefeitura Municipal de Presidente Médici - RO,RO,matched (3)
1100262,1,0,0,1,1,0,0,1,6,0,0,12,6,0,0,8,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,3,1,3,3,3.5,3.5,3.5,1.8333334,3.5,3.5,3.3166666,Prefeitura Municipal de Rio Crespo - RO,RO,matched (3)
1100288,1,1,0,1,1,0,1,1,48,8,0,12,14,0,3,16,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,6,6,3,3,3,2,4.75,4.75,3.5,3.5,3.5,2.6666667,3.7083333,Prefeitura Municipal de Rolim de Moura - RO,RO,matched (3)
1100296,0,0,0,1,1,0,0,1,0,0,0,8,8,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,3,2,0,0,0,2.875,2.875,2.6666667,1,1,1,2.1666667,Prefeitura Municipal de Santa Luzia D'Oeste - RO,RO,matched (3)
1100304,1,1,0,1,1,1,1,1,48,0,0,26,19,12,3,12,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,6,6,5,3,3,3,4.75,4.75,5.1666665,3.5,3.5,3.5,4.5166664,Prefeitura Municipal de Vilhena - RO,RO,matched (3)
1100320,1,0,0,1,1,0,0,1,48,0,0,12,12,0,0,12,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,3,3,3,2,3.5,3.5,3.5,3.5,3.5,2.6666667,3.4083333,Prefeitura Municipal de São Miguel do Guaporé - RO,RO,matched (3)
1100338,1,0,0,1,1,1,0,0,40,0,0,8,6,4,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,4,4,3,2,2,2,3.5,3.5,3.5,2.6666667,2.6666667,2.6666667,3.2250001,Prefeitura Municipal de Nova Mamoré - RO,RO,matched (3)
1100346,1,0,0,1,1,0,0,1,12,0,0,12,12,0,0,12,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,2,2,2,3,3.5,3.5,2.6666667,2.6666667,2.6666667,3.5,2.9583335,Prefeitura Municipal de Alvorada D'Oeste - RO,RO,matched (3)
