municipio,codigo,receita_corrente,divida_consolidada,pessoal_encargos,cap_pag_div,eq1_cap_pag_div
Prefeitura Municipal de Alta Floresta D'Oeste - RO,1100015,59833589.38,0,34081155.41,0,2.8928819
Prefeitura Municipal de Ariquemes - RO,1100023,252355544.91,69641562,136331997.28,.60023648,2.9125497
Prefeitura Municipal de Cabixi - RO,1100031,24340890.89,0,11258441.66,0,2.8928819
Prefeitura Municipal de Cacoal - RO,1100049,189276052.55,22684714,104150315.93,.2664848,2.9016137
Prefeitura Municipal de Cerejeiras - RO,1100056,49441223.76,2429207,22555803.57,.090354063,2.8958426
Prefeitura Municipal de Colorado do Oeste - RO,1100064,46153091.02,1488308,21899183.05,.061363637,2.8948927
Prefeitura Municipal de Corumbiara - RO,1100072,31607814.88,0,16332505.56,0,2.8928819
Prefeitura Municipal de Costa Marques - RO,1100080,41104979.2,7862902,18701487.44,.35096771,2.904382
Prefeitura Municipal de Espigão D'Oeste - RO,1100098,72440177.98,0,35475657.97,0,2.8928819
Prefeitura Municipal de Guajará-Mirim - RO,1100106,94523396.38,40150894,54762159.19,1.0098,2.9259696
Prefeitura Municipal de Jaru - RO,1100114,127063768.04,34897549,64893590.52,.56132299,2.9112747
Prefeitura Municipal de Ji-Paraná - RO,1100122,259854088.25,31951057,133766534.5,.25340372,2.901185
Prefeitura Municipal de Machadinho D'Oeste - RO,1100130,85268630.33,13249469,48105629.15,.35652313,2.9045639
Prefeitura Municipal de Nova Brasilândia D'Oeste - RO,1100148,52636852.13,1828199,25242585.4,.066736557,2.8950686
Prefeitura Municipal de Ouro Preto do Oeste - RO,1100155,100361221.74,2417196,57649122.77,.05659277,2.8947363
Prefeitura Municipal de Pimenta Bueno - RO,1100189,95709710.28,14961504,50534494.86,.33118832,2.903734
Prefeitura Municipal de Porto Velho - RO,1100205,1451724305.04,387558911,777104405.89,.57448483,2.911706
Prefeitura Municipal de Presidente Médici - RO,1100254,47874455.39,23384768,25345223.07,1.0379745,2.9268928
Prefeitura Municipal de Rio Crespo - RO,1100262,19205586.42,142700,9785382.15,.015148291,2.8933783
Prefeitura Municipal de Rolim de Moura - RO,1100288,122747736.35,23385514,70481421.52,.44742993,2.9075427
Prefeitura Municipal de Santa Luzia D'Oeste - RO,1100296,25936678.64,0,13556394.28,0,2.8928819
Prefeitura Municipal de Vilhena - RO,1100304,263174583.33,128095486,143402385.72,1.0694927,2.9279256
Prefeitura Municipal de São Miguel do Guaporé - RO,1100320,64040420.16,1187355,34197907.09,.039787367,2.8941855
Prefeitura Municipal de Nova Mamoré - RO,1100338,63204022.01,0,35715040.74,0,2.8928819
Prefeitura Municipal de Alvorada D'Oeste - RO,1100346,43299579.77,5996449,24365502.37,.31670141,2.9032593
Prefeitura Municipal de Alto Alegre dos Parecis - RO,1100379,36914102.07,4605477,20484622.16,.28031787,2.9020669
Prefeitura Municipal de Alto Paraíso - RO,1100403,41139832.37,948500,20485482.13,.045922529,2.8943868
Prefeitura Municipal de Buritis - RO,1100452,80290539.68000001,0,42152256.97,0,2.8928819
Prefeitura Municipal de Novo Horizonte do Oeste - RO,1100502,26765840.68,9571726,13434032.41,.71796155,2.9164071
Prefeitura Municipal de Cacaulândia - RO,1100601,24330547.34,0,10232056.9,0,2.8928819
Prefeitura Municipal de Campo Novo de Rondônia - RO,1100700,43759881.42,0,23046704.88,0,2.8928819
Prefeitura Municipal de Candeias do Jamari - RO,1100809,52461351.95,14278482,35391712.95,.83648413,2.9202907
Prefeitura Municipal de Castanheiras - RO,1100908,19780885.01,0,9961274.23,0,2.8928819
Prefeitura Municipal de Chupinguaia - RO,1100924,43349699.86,0,20171317.52,0,2.8928819
Prefeitura Municipal de Cujubim - RO,1100940,47609971.03,0,24386704.71,0,2.8928819
Prefeitura Municipal de Governador Jorge Teixeira - RO,1101005,29598591.71,0,16333155.64,0,2.8928819
Prefeitura Municipal de Itapuã do Oeste - RO,1101104,33395242.12,2118762,14248312.93,.11065806,2.8965077
Prefeitura Municipal de Ministro Andreazza - RO,1101203,27732084.06,334839,13709017.73,.023877731,2.8936644
Prefeitura Municipal de Mirante da Serra - RO,1101302,30554647.85,0,15370004.78,0,2.8928819
Prefeitura Municipal de Monte Negro - RO,1101401,40413242.04,9695118,21284447.46,.50683373,2.9094892
Prefeitura Municipal de Nova União - RO,1101435,22025937,0,11147828.27,0,2.8928819
Prefeitura Municipal de Parecis - RO,1101450,21760002.03,712578,9763228.109999999,.05939747,2.8948281
Prefeitura Municipal de Pimenteiras do Oeste - RO,1101468,22897098.63,0,8976223.23,0,2.8928819
Prefeitura Municipal de Primavera de Rondônia - RO,1101476,16807139.71,0,7827967.17,0,2.8928819
Prefeitura Municipal de São Felipe D'Oeste - RO,1101484,21522012.46,0,9567142.73,0,2.8928819
Prefeitura Municipal de São Francisco do Guaporé - RO,1101492,56596722.72,0,22791681.79,0,2.8928819
Prefeitura Municipal de Seringueiras - RO,1101500,39443243.79,343534,18513275.22,.016413499,2.8934197
Prefeitura Municipal de Teixeirópolis - RO,1101559,18737133.97,0,8413126.49,0,2.8928819
Prefeitura Municipal de Theobroma - RO,1101609,35309603.31,12026763,17165640.9,.66285205,2.9146013
Prefeitura Municipal de Urupá - RO,1101708,34951137.32,0,17456110.85,0,2.8928819
Prefeitura Municipal de Vale do Anari - RO,1101757,30884016.33,3534034,16297321.27,.24227791,2.9008205
Prefeitura Municipal de Vale do Paraíso - RO,1101807,25241744.03,0,12766845.35,0,2.8928819
Prefeitura Municipal de Acrelândia - AC,1200013,31332246.8,150522,16665570.79,.010262857,2.8932183
Prefeitura Municipal de Assis Brasil - AC,1200054,21262558.42,-169389,11610524.76,-.017549565,2.8923068
Prefeitura Municipal de Brasiléia - AC,1200104,56508622.66,9982955,27764629.4,.34730577,2.9042621
Prefeitura Municipal de Bujari - AC,1200138,22611032.25,1939824,12979338.39,.20140009,2.8994811
Prefeitura Municipal de Capixaba - AC,1200179,26896445.4,-1051386,13929226.87,-.081080303,2.8902252
Prefeitura Municipal de Cruzeiro do Sul - AC,1200203,158012332.11,27118591,90564854.34999999,.40206975,2.9060564
Prefeitura Municipal de Epitaciolândia - AC,1200252,35457428,8716560,14895238.02,.42391205,2.9067721
Prefeitura Municipal de Jordão - AC,1200328,25861473.61,1552117,13051596.11,.12116564,2.896852
Prefeitura Municipal de Mâncio Lima - AC,1200336,40466153.62,14446604,24013938.9,.87809479,2.9216542
Prefeitura Municipal de Manoel Urbano - AC,1200344,29411706.4,12221278,13280747.67,.75762874,2.917707
Prefeitura Municipal de Marechal Thaumaturgo - AC,1200351,49024086.58,7637491,30311800.28,.4081538,2.9062557
Prefeitura Municipal de Porto Walter - AC,1200393,0,1455832,0,,
Prefeitura Municipal de Rio Branco - AC,1200401,936401275.1799999,243118479,424142679.64,.47460106,2.908433
Prefeitura Municipal de Rodrigues Alves - AC,1200427,38556715.34,2269634,23663179.96,.15239054,2.8978753
Prefeitura Municipal de Senador Guiomard - AC,1200450,45451253.23,28084403,25972997.88,1.4418336,2.9401259
Prefeitura Municipal de Sena Madureira - AC,1200500,63235024.39,47671200,31833692.43,1.5181267,2.9426258
Prefeitura Municipal de Tarauacá - AC,1200609,69961244.40000001,34479581,45406911.25,1.4042157,2.9388933
Prefeitura Municipal de Xapuri - AC,1200708,36360022.29,3984108,15670707.31,.19256839,2.8991919
Prefeitura Municipal de Porto Acre - AC,1200807,31274861.51,8049602,18528093.81,.63150144,2.9135742
Prefeitura Municipal de Alvarães - AM,1300029,43547496.68,0,27687146.86,0,2.8928819
Prefeitura Municipal de Amaturá - AM,1300060,31307229.37,0,14491704.55,0,2.8928819
Prefeitura Municipal de Anamã - AM,1300086,33510862.96,0,13911855.52,0,2.8928819
Prefeitura Municipal de Anori - AM,1300102,35197155.51,0,21670005.3,0,2.8928819
Prefeitura Municipal de Apuí - AM,1300144,43171528.75,0,19563563.33,0,2.8928819
Prefeitura Municipal de Atalaia do Norte - AM,1300201,50647532.73,6121933,30459305.97,.30324274,2.9028182
Prefeitura Municipal de Autazes - AM,1300300,87044504.67,0,50958232.63,0,2.8928819
Prefeitura Municipal de Barcelos - AM,1300409,47504817.52,11359638,27070900.04,.55592072,2.9110975
Prefeitura Municipal de Barreirinha - AM,1300508,82468447.14,3662361,49864885.76,.11233009,2.8965626
Prefeitura Municipal de Benjamin Constant - AM,1300607,97100467.54000001,27622240,54765356.53,.65246648,2.9142611
Prefeitura Municipal de Beruri - AM,1300631,51851054.02,7142045,32534802.47,.36974281,2.9049971
Prefeitura Municipal de Boa Vista do Ramos - AM,1300680,48100897.27,7658639,27398084.5,.36993229,2.9050033
Prefeitura Municipal de Boca do Acre - AM,1300706,66286256.91,0,38788776.14,0,2.8928819
Prefeitura Municipal de Borba - AM,1300805,84537851.56,0,53589799.48,0,2.8928819
Prefeitura Municipal de Caapiranga - AM,1300839,22923837.11,0,22423743.87,0,2.8928819
Prefeitura Municipal de Canutama - AM,1300904,37199451.21,0,18169399.21,0,2.8928819
Prefeitura Municipal de Carauari - AM,1301001,63075936.66,0,32859592.12,0,2.8928819
Prefeitura Municipal de Careiro - AM,1301100,83105413.56,0,37692402.03,0,2.8928819
Prefeitura Municipal de Careiro da Várzea - AM,1301159,49483337.85,0,25416705.46,0,2.8928819
Prefeitura Municipal de Coari - AM,1301209,294716710.5,2626680,135715658.97,.016519891,2.8934233
Prefeitura Municipal de Codajás - AM,1301308,40711239.46,0,26454077.11,0,2.8928819
Prefeitura Municipal de Eirunepé - AM,1301407,74873537.28,0,38694427.59,0,2.8928819
Prefeitura Municipal de Envira - AM,1301506,44903509.9,9056548,23044427.85,.4143151,2.9064577
Prefeitura Municipal de Fonte Boa - AM,1301605,61248629.69,0,31916207.6,0,2.8928819
Prefeitura Municipal de Guajará - AM,1301654,36937247.53,0,17594219.71,0,2.8928819
Prefeitura Municipal de Humaitá - AM,1301704,109376874.43,1268562,45217713.78,.019772111,2.8935299
Prefeitura Municipal de Ipixuna - AM,1301803,45049798.83,1663433,22497355.52,.073758438,2.8952987
Prefeitura Municipal de Iranduba - AM,1301852,114920228.63,0,75707428.44,0,2.8928819
Prefeitura Municipal de Itacoatiara - AM,1301902,225694831.44,81305757,136964672.17,.91632605,2.9229069
Prefeitura Municipal de Itamarati - AM,1301951,18021170.86,9004021,14045455.24,2.2647548,2.9670904
Prefeitura Municipal de Itapiranga - AM,1302009,16673443.66,0,16186380.24,0,2.8928819
Prefeitura Municipal de Japurá - AM,1302108,34002911.96,0,17850192.61,0,2.8928819
Prefeitura Municipal de Juruá - AM,1302207,37604479.76,0,15313001.42,0,2.8928819
Prefeitura Municipal de Jutaí - AM,1302306,52485630.58,350985,36460204.04,.021901757,2.8935995
Prefeitura Municipal de Lábrea - AM,1302405,90580539.69,0,40458893.01,0,2.8928819
Prefeitura Municipal de Manacapuru - AM,1302504,184759150.3,1019068,98373498.47,.011796728,2.8932686
Prefeitura Municipal de Manaquiri - AM,1302553,56752964.91,0,26776943.47,0,2.8928819
Prefeitura Municipal de Manaus - AM,1302603,5055040068.97,1818181342,2364880646.55,.6758638,2.9150276
Prefeitura Municipal de Manicoré - AM,1302702,96062095.7,133700,49916158.87,.0028973299,2.8929768
Prefeitura Municipal de Maraã - AM,1302801,52649156.15,158596,28760949.41,.0066390918,2.8930995
Prefeitura Municipal de Maués - AM,1302900,150663753.45,9106166,78064626.91,.12543079,2.896992
Prefeitura Municipal de Nhamundá - AM,1303007,49238587.1,0,22894985.18,0,2.8928819
Prefeitura Municipal de Nova Olinda do Norte - AM,1303106,32432602.56,4111951,33135712.44,-5.8482337,2.7012551
Prefeitura Municipal de Novo Airão - AM,1303205,43539802.25,18788133,20633097.23,.82020235,2.9197571
Prefeitura Municipal de Novo Aripuanã - AM,1303304,45819604.41,1702237,22627594.59,.073397562,2.895287
Prefeitura Municipal de Parintins - AM,1303403,210686139.74,8362582,105581044.96,.079564005,2.895489
Prefeitura Municipal de Pauini - AM,1303502,44424135.92,0,24863784.4,0,2.8928819
Prefeitura Municipal de Presidente Figueiredo - AM,1303536,201470168.44,0,99265609.27,0,2.8928819
Prefeitura Municipal de Rio Preto da Eva - AM,1303569,85205994.95999999,0,26239301.78,0,2.8928819
Prefeitura Municipal de Santa Isabel do Rio Negro - AM,1303601,43401563.52,0,19763169.32,0,2.8928819
Prefeitura Municipal de Santo Antônio do Içá - AM,1303700,64417970.66,14075275,32874552.13,.44621909,2.9075031
Prefeitura Municipal de São Gabriel da Cachoeira - AM,1303809,93184379.12,0,51611586.2,0,2.8928819
Prefeitura Municipal de São Paulo de Olivença - AM,1303908,76712218.34,0,41912886.41,0,2.8928819
Prefeitura Municipal de São Sebastião do Uatumã - AM,1303957,27973362.1,0,14443791.6,0,2.8928819
Prefeitura Municipal de Silves - AM,1304005,28027046.54,0,14106436.03,0,2.8928819
Prefeitura Municipal de Tabatinga - AM,1304062,117700785.59,27737261,72133397.41,.60870862,2.9128273
Prefeitura Municipal de Tapauá - AM,1304104,49552886.54,0,32791406.06,0,2.8928819
Prefeitura Municipal de Tefé - AM,1304203,157686824.75,6314995,80571925.23,.081890725,2.8955653
Prefeitura Municipal de Tonantins - AM,1304237,48465368.67,0,26341141.41,0,2.8928819
Prefeitura Municipal de Uarini - AM,1304260,39177210.4,1065485,20219129.08,.056202155,2.8947234
Prefeitura Municipal de Urucará - AM,1304302,48581435.97,4622039,26605804.37,.21032564,2.8997736
Prefeitura Municipal de Urucurituba - AM,1304401,53848397.42,7376187,24120140.51,.2481204,2.9010119
Prefeitura Municipal de Amajari - RR,1400027,19882059.56,0,11708744.23,0,2.8928819
Prefeitura Municipal de Alto Alegre - RR,1400050,29755302.53,0,18030822.18,0,2.8928819
Prefeitura Municipal de Boa Vista - RR,1400100,1199131601.9,83613064,526017047.36,.12421818,2.8969522
Prefeitura Municipal de Bonfim - RR,1400159,33830164.43,8938484,17121286.22,.53495419,2.9104106
Prefeitura Municipal de Cantá - RR,1400175,32979688.57,21313902,20745097.76,1.7421018,2.9499648
Prefeitura Municipal de Caracaraí - RR,1400209,50631721.67,30426448,31558184.98,1.5952179,2.9451518
Prefeitura Municipal de Caroebe - RR,1400233,21156004.83,13715135,11617577.28,1.4378822,2.9399965
Prefeitura Municipal de Iracema - RR,1400282,25397355.82,869214,12545434.89,.067633003,2.895098
Prefeitura Municipal de Mucajaí - RR,1400308,33512837.09,24244001,19146635.11,1.687572,2.9481781
Prefeitura Municipal de Normandia - RR,1400407,29562639.17,12773312,15221430.75,.89067197,2.9220662
Prefeitura Municipal de Pacaraima - RR,1400456,15262599.01,18917320,15063103.23,94.825668,6
Prefeitura Municipal de Rorainópolis - RR,1400472,59206079.62,836052,34426218.76,.033739172,2.8939874
Prefeitura Municipal de São João da Baliza - RR,1400506,17184401.53,12806796,10751362.14,1.9907846,2.9581132
Prefeitura Municipal de São Luiz - RR,1400605,16190641.18,2135818,8353608.25,.27252892,2.9018118
Prefeitura Municipal de Uiramutã - RR,1400704,7714423.25,6334552,9928977.439999999,-2.8604186,2.7991557
Prefeitura Municipal de Abaetetuba - PA,1500107,269042074.15,4599088,157915565.76,.041386057,2.894238
Prefeitura Municipal de Abel Figueiredo - PA,1500131,24681900.06,0,11409459.24,0,2.8928819
Prefeitura Municipal de Acará - PA,1500206,128472517.48,130352549,90049400.59999999,3.3925552,3.0040445
Prefeitura Municipal de Afuá - PA,1500305,94626219.2,54444795,65039254.41,1.8401616,2.9531779
Prefeitura Municipal de Água Azul do Norte - PA,1500347,56788844.92,4264879,24198880.74,.1308648,2.8971698
Prefeitura Municipal de Alenquer - PA,1500404,104547432.78,2306443,72886272.91,.072847709,2.8952689
Prefeitura Municipal de Almeirim - PA,1500503,106640879.88,0,65101870.05,0,2.8928819
Prefeitura Municipal de Altamira - PA,1500602,0,2278046,0,,
Prefeitura Municipal de Anajás - PA,1500701,68593635.68000001,14765855,42418375.63,.56411493,2.911366
Prefeitura Municipal de Ananindeua - PA,1500800,678869472.16,51604122,352077112.01,.15791105,2.8980563
Prefeitura Municipal de Anapu - PA,1500859,81773467.06,153213,40961345.71,.0037541052,2.8930049
Prefeitura Municipal de Augusto Corrêa - PA,1500909,97549211.27,5044147,66588062.08,.1629186,2.8982203
Prefeitura Municipal de Aurora do Pará - PA,1500958,56457813.64,0,43205031.14,0,2.8928819
Prefeitura Municipal de Aveiro - PA,1501006,35905197.55,311732,22889554.89,.023950566,2.8936667
Prefeitura Municipal de Bagre - PA,1501105,52735361.57,0,32999263.21,0,2.8928819
Prefeitura Municipal de Baião - PA,1501204,82131803.02,0,69405764.52,0,2.8928819
Prefeitura Municipal de Bannach - PA,1501253,21210569.6,0,8942608.630000001,0,2.8928819
Prefeitura Municipal de Barcarena - PA,1501303,413870497.04,16998557,203063161.22,.08063551,2.895524
Prefeitura Municipal de Belém - PA,1501402,2890560643.66,972436997,1434756951.89,.66797262,2.9147692
Prefeitura Municipal de Belterra - PA,1501451,41328456.49,25921492,27817818.99,1.9185988,2.9557481
Prefeitura Municipal de Benevides - PA,1501501,131722626.72,0,66624390.51,0,2.8928819
Prefeitura Municipal de Bom Jesus do Tocantins - PA,1501576,38614894.81,0,19770215.71,0,2.8928819
Prefeitura Municipal de Bonito - PA,1501600,31011632.13,9187290,13332730.88,.51967537,2.90991
Prefeitura Municipal de Bragança - PA,1501709,171857504.92,1239971,105094061.97,.018572604,2.8934906
Prefeitura Municipal de Brasil Novo - PA,1501725,49302538.64,0,24843635.98,0,2.8928819
Prefeitura Municipal de Brejo Grande do Araguaia - PA,1501758,23872405.73,348784,10883125.35,.02685168,2.8937619
Prefeitura Municipal de Breu Branco - PA,1501782,116263643.87,22212687,71283680,.49383515,2.9090633
Prefeitura Municipal de Breves - PA,1501808,212506213.33,3000,176363757.54,.000083004874,2.8928847
Prefeitura Municipal de Bujaru - PA,1501907,56387712.92,79698640,38911568.41,4.5604248,3.0423117
Prefeitura Municipal de Cachoeira do Piriá - PA,1501956,54836972.06,20585526,27422942.71,.75091207,2.9174869
Prefeitura Municipal de Cachoeira do Arari - PA,1502004,43691451.14,0,26365599.43,0,2.8928819
Prefeitura Municipal de Cametá - PA,1502103,236308888.89,0,155087255.48,0,2.8928819
Prefeitura Municipal de Canaã dos Carajás - PA,1502152,363986295.58,43915201,139120814.42,.19529544,2.899281
Prefeitura Municipal de Capanema - PA,1502202,129986851.52,34650048,65668563.34,.53872776,2.9105341
Prefeitura Municipal de Capitão Poço - PA,1502301,88177891.54000001,44891359,53401108.34,1.2908428,2.9351785
Prefeitura Municipal de Castanhal - PA,1502400,419114862.44,2003430,249102535.21,.011784028,2.8932681
Prefeitura Municipal de Chaves - PA,1502509,53268695.63,6301627,36054130.15,.36606365,2.9048767
Prefeitura Municipal de Colares - PA,1502608,25177205.3,19228990,15043191.95,1.8974704,2.9550557
Prefeitura Municipal de Conceição do Araguaia - PA,1502707,91655277.68000001,66269017,51957620.12,1.6693432,2.9475808
Prefeitura Municipal de Concórdia do Pará - PA,1502756,80949661.56999999,0,59133395.88,0,2.8928819
Prefeitura Municipal de Cumaru do Norte - PA,1502764,40744456.55,85424,23212664.56,.0048725195,2.8930416
Prefeitura Municipal de Curionópolis - PA,1502772,90079659.01000001,4471312,35715249.57,.082247041,2.895577
Prefeitura Municipal de Curralinho - PA,1502806,75860411.75,234232,54067748.12,.010748204,2.893234
Prefeitura Municipal de Curuá - PA,1502855,36250795.28,894203,25763104.34,.085262142,2.8956757
Prefeitura Municipal de Curuçá - PA,1502905,66407060.64,0,37675280.18,0,2.8928819
Prefeitura Municipal de Dom Eliseu - PA,1502939,114113807.71,67478197,70122434.09,1.5338961,2.9431427
Prefeitura Municipal de Eldorado do Carajás - PA,1502954,70847792.40000001,29389,38535156.13,.00090952037,2.8929117
Prefeitura Municipal de Floresta do Araguaia - PA,1503044,51239138.18,217989,28322646.54,.0095123202,2.8931937
Prefeitura Municipal de Garrafão do Norte - PA,1503077,62186592.22,38149157,41865585.7,1.8773261,2.9543955
Prefeitura Municipal de Goianésia do Pará - PA,1503093,88090639.34,39626419,46960159.04,.96343195,2.9244504
Prefeitura Municipal de Gurupá - PA,1503101,83284752.75,0,66749530.95,0,2.8928819
Prefeitura Municipal de Igarapé-Açu - PA,1503200,64014806.82,0,33591836.93,0,2.8928819
Prefeitura Municipal de Igarapé-Miri - PA,1503309,121454634.28,75808499,86973225.61,2.1985326,2.9649205
Prefeitura Municipal de Inhangapi - PA,1503408,25042242.63,2378512,14020212.91,.21579619,2.8999529
Prefeitura Municipal de Ipixuna do Pará - PA,1503457,108607071.32,2147,77624881.77,.000069297879,2.8928843
Prefeitura Municipal de Irituia - PA,1503507,55497562.2,31241578,25139581.77,1.0291059,2.9266024
Prefeitura Municipal de Itaituba - PA,1503606,253912972.38,193559840,149591525.37,1.8554175,2.9536777
Prefeitura Municipal de Itupiranga - PA,1503705,107100471.05,4819977,61277915.62,.10518787,2.8963287
Prefeitura Municipal de Jacareacanga - PA,1503754,84899936.67,1748880,44842171.2,.043658949,2.8943124
Prefeitura Municipal de Jacundá - PA,1503804,94032937.70999999,0,47578019.23,0,2.8928819
Prefeitura Municipal de Juruti - PA,1503903,148671010.28,46472977,89101351.93000001,.78014511,2.9184446
Prefeitura Municipal de Limoeiro do Ajuru - PA,1504000,56469517.93,28410790,36643955.93,1.4330384,2.9398377
Prefeitura Municipal de Mãe do Rio - PA,1504059,69420066.06,32391,43909278.34,.0012696981,2.8929236
Prefeitura Municipal de Magalhães Barata - PA,1504109,21183557.48,0,13137556.92,0,2.8928819
Prefeitura Municipal de Marabá - PA,1504208,876904560.91,88386885,442337788.62,.20339081,2.8995464
Prefeitura Municipal de Maracanã - PA,1504307,61135738.89,42516965,38068757.22,1.8431958,2.9532773
Prefeitura Municipal de Marituba - PA,1504422,227581009.61,185415094,173779737.27,3.4462957,3.0058055
Prefeitura Municipal de Medicilândia - PA,1504455,65336796.71,0,32222171.77,0,2.8928819
Prefeitura Municipal de Melgaço - PA,1504505,67457000.28,2771734,45553684.18,.12654403,2.8970284
Prefeitura Municipal de Mocajuba - PA,1504604,84155519.89,33001779,60420225.77,1.3904095,2.938441
Prefeitura Municipal de Moju - PA,1504703,71482215.81999999,0,45474567.47,0,2.8928819
Prefeitura Municipal de Mojuí dos Campos - PA,1504752,39982633.94,412199,26161331.49,.029823456,2.8938591
Prefeitura Municipal de Monte Alegre - PA,1504802,133813496.12,28826179,95093341.65000001,.74447477,2.9172759
Prefeitura Municipal de Nova Esperança do Piriá - PA,1504950,49719194.59,713001,28022959.48,.032862891,2.8939588
Prefeitura Municipal de Nova Ipixuna - PA,1504976,41014035.26,13473612,19085410.72,.61443031,2.9130147
Prefeitura Municipal de Nova Timboteua - PA,1505007,31772379.29,0,15897920.83,0,2.8928819
Prefeitura Municipal de Novo Progresso - PA,1505031,84651697.56999999,17190568,45934930.85,.44400835,2.9074306
Prefeitura Municipal de Novo Repartimento - PA,1505064,170222949.14,8044451,97730827.59999999,.11097001,2.896518
Prefeitura Municipal de Óbidos - PA,1505106,103684452.05,7092158,72072483.66,.22435041,2.900233
Prefeitura Municipal de Oeiras do Pará - PA,1505205,73558193.90000001,1943405,57493224.67,.1209716,2.8968458
Prefeitura Municipal de Oriximiná - PA,1505304,224399698.69,53978,103377868.36,.0004460187,2.8928967
Prefeitura Municipal de Ourém - PA,1505403,41535103.56,26811909,15926786.02,1.0470001,2.9271886
Prefeitura Municipal de Ourilândia do Norte - PA,1505437,96033414.11,0,48492183.57,0,2.8928819
Prefeitura Municipal de Pacajá - PA,1505486,94503912.09999999,2499416,59784203.75,.071988396,2.8952408
Prefeitura Municipal de Palestina do Pará - PA,1505494,23547864.71,0,10854519.6,0,2.8928819
Prefeitura Municipal de Paragominas - PA,1505502,331193675.46,219496,190772501.99,.0015631261,2.8929331
Prefeitura Municipal de Parauapebas - PA,1505536,1247856090.52,145235739,525971990.13,.20118983,2.8994741
Prefeitura Municipal de Pau D'Arco - PA,1505551,26303685.47,10558444,17709306.58,1.228529,2.9331367
Prefeitura Municipal de Peixe-Boi - PA,1505601,21447188.58,2694101,9772169.119999999,.23075773,2.9004431
Prefeitura Municipal de Piçarra - PA,1505635,38548668.08,3216941,19286324.31,.16700673,2.8983543
Prefeitura Municipal de Placas - PA,1505650,57258498.46,417398,23134687.23,.01223187,2.8932827
Prefeitura Municipal de Ponta de Pedras - PA,1505700,51148243.37,24370835,29232783.79,1.1120385,2.9293196
Prefeitura Municipal de Portel - PA,1505809,136463221.6,614280,100897074.37,.01727148,2.8934479
Prefeitura Municipal de Porto de Moz - PA,1505908,101112504.46,28726,56338425.11,.00064157654,2.8929029
Prefeitura Municipal de Prainha - PA,1506005,73801831.64,0,47875984.24,0,2.8928819
Prefeitura Municipal de Primavera - PA,1506104,27599191.77,7521230,16889835.82,.7023046,2.915894
Prefeitura Municipal de Quatipuru - PA,1506112,26752385.13,0,14559875.53,0,2.8928819
Prefeitura Municipal de Redenção - PA,1506138,184479382.95,0,103859744.09,0,2.8928819
Prefeitura Municipal de Rio Maria - PA,1506161,52322564.41,0,28598944.74,0,2.8928819
Prefeitura Municipal de Rondon do Pará - PA,1506187,93670030.61,0,66768420.29,0,2.8928819
Prefeitura Municipal de Rurópolis - PA,1506195,71662275.56999999,2156117,38946087.56,.065903671,2.8950415
Prefeitura Municipal de Salinópolis - PA,1506203,78072369.26000001,36193917,43114233,1.0353503,2.9268069
Prefeitura Municipal de Salvaterra - PA,1506302,64372558.73,202451,27527845.03,.0054947096,2.8930619
Prefeitura Municipal de Santa Bárbara do Pará - PA,1506351,39770439.3,1472065,20688779.89,.077145547,2.8954098
Prefeitura Municipal de Santa Cruz do Arari - PA,1506401,19682244.19,4004254,9173970.539999999,.38105726,2.9053679
Prefeitura Municipal de Santa Izabel do Pará - PA,1506500,129006071.44,24501775,76347826.73999999,.465298,2.9081283
Prefeitura Municipal de Santa Luzia do Pará - PA,1506559,44896192.57,140400,26479701.03,.0076236017,2.8931317
Prefeitura Municipal de Santa Maria das Barreiras - PA,1506583,50986324.14,293459,26186292.34,.011833009,2.8932698
Prefeitura Municipal de Santa Maria do Pará - PA,1506609,49739476.49,0,22324504.75,0,2.8928819
Prefeitura Municipal de Santana do Araguaia - PA,1506708,120984925.85,6724115,53937205.11,.1002885,2.896168
Prefeitura Municipal de Santarém - PA,1506807,630866825.49,100429561,306175093.25,.30930743,2.9030168
Prefeitura Municipal de Santo Antônio do Tauá - PA,1507003,64187022.96,0,41819262.32,0,2.8928819
Prefeitura Municipal de São Caetano de Odivelas - PA,1507102,39715619.65,0,20819357.4,0,2.8928819
Prefeitura Municipal de São Domingos do Araguaia - PA,1507151,52846408.34,0,29611203.5,0,2.8928819
Prefeitura Municipal de São Domingos do Capim - PA,1507201,72394229.56999999,0,45639114.35,0,2.8928819
Prefeitura Municipal de São Félix do Xingu - PA,1507300,188969069.49,17617883,79711208.72,.16125049,2.8981655
Prefeitura Municipal de São Francisco do Pará - PA,1507409,37970304.37,0,19285106.96,0,2.8928819
Prefeitura Municipal de São Geraldo do Araguaia - PA,1507458,75328424.8,0,39343965.9,0,2.8928819
Prefeitura Municipal de São João da Ponta - PA,1507466,18633650.43,2460661,7951309.78,.23034848,2.9004297
Prefeitura Municipal de São João de Pirabas - PA,1507474,47700066.02,12914,31917630.45,.0008182514,2.8929088
Prefeitura Municipal de São João do Araguaia - PA,1507508,37913900.25,0,21780980.13,0,2.8928819
Prefeitura Municipal de São Miguel do Guamá - PA,1507607,106329161.65,53668773,62470631.23,1.2236792,2.9329777
Prefeitura Municipal de São Sebastião da Boa Vista - PA,1507706,57105955.82,0,36283172.8,0,2.8928819
Prefeitura Municipal de Sapucaia - PA,1507755,25170242.06,1575193,13469940.32,.13462842,2.8972933
