municipio,codigo,receita_corrente,divida_consolidada,pessoal_encargos,cap_pag_div,eq1_cap_pag_div
Prefeitura Municipal de Abelardo Luz - SC,4200101,65477327.69,4011508,30973284.51,.11626197,2.8966916
Prefeitura Municipal de Agrolândia - SC,4200200,32605308.88,494405,16782491.62,.031246332,2.8939059
Prefeitura Municipal de Agronômica - SC,4200309,21048762.99,839060,10230119.71,.077556863,2.8954232
Prefeitura Municipal de Água Doce - SC,4200408,37974977.46,297766,16404776.41,.013804507,2.8933342
Prefeitura Municipal de Águas de Chapecó - SC,4200507,20179358.31,40595,8865329.84,.0035880236,2.8929994
Prefeitura Municipal de Águas Frias - SC,4200556,17703824.18,500000,7348328.02,.04828354,2.894464
Prefeitura Municipal de Águas Mornas - SC,4200606,21939588.44,0,11249299.85,0,2.8928819
Prefeitura Municipal de Alfredo Wagner - SC,4200705,27637580.24,0,12901198.23,0,2.8928819
Prefeitura Municipal de Alto Bela Vista - SC,4200754,17663805.83,0,7674045.82,0,2.8928819
Prefeitura Municipal de Anchieta - SC,4200804,19901577.7,854629,11384773.48,.10034621,2.8961699
Prefeitura Municipal de Angelina - SC,4200903,0,79046,11428045.28,-.0069168434,2.8926554
Prefeitura Municipal de Anita Garibaldi - SC,4201000,26543535.15,1100712,16513199.69,.10973831,2.8964777
Prefeitura Municipal de Anitápolis - SC,4201109,17571609.82,0,8530264.560000001,0,2.8928819
Prefeitura Municipal de Antônio Carlos - SC,4201208,41239366.3,2238675,20910346.23,.11012213,2.8964903
Prefeitura Municipal de Apiúna - SC,4201257,44503395.16,3464351,20302386.31,.14314903,2.8975725
Prefeitura Municipal de Arabutã - SC,4201273,24548270.09,20141,10889465.53,.00147458,2.8929303
Prefeitura Municipal de Araquari - SC,4201307,146724362.57,1874545,68625102.31,.024002085,2.8936684
Prefeitura Municipal de Araranguá - SC,4201406,126196329.65,11143416,66488072.06,.18663107,2.8989973
Prefeitura Municipal de Armazém - SC,4201505,24258929.41,0,11078677.33,0,2.8928819
Prefeitura Municipal de Arroio Trinta - SC,4201604,24100170.66,352314,9618153.050000001,.024327688,2.8936791
Prefeitura Municipal de Arvoredo - SC,4201653,18800418.01,666666,7263472.99,.057785314,2.8947754
