codibge,uf,valor,sp
2917201,BA,5725879,0
2925303,BA,249473733,0
2806008,SE,11055254,0
5200209,GO,-1508245,0
3540507,SP,-1933535,1
4104907,PR,-20482040,0
4207601,SC,-2732448,0
4201257,SC,-1388880,0
4311007,RS,-12691983,0
4304507,RS,-3753906,0
3152006,MG,-8740714,0
4201109,SC,-1916535,0
2933158,BA,-23438156,0
4200754,SC,-2645496,0
3305505,RJ,-63607094,0
2913309,BA,9878087,0
2908705,BA,21839235,0
2500734,PB,944526,0
2515930,PB,1270702,0
2926103,BA,12434221,0
4200408,SC,-11087753,0
2605004,PE,53047694,0
3130408,MG,-1354760,0
2909000,BA,-1878736,0
3533106,SP,-137659,1
2930766,BA,28592251,0
2503803,PB,8886259,0
2918605,BA,5465964,0
2616209,PE,-10056761,0
3127107,MG,-419023,0
2605152,PE,13802040,0
4104808,PR,-29049035,0
1702109,TO,-45660987,0
2903201,BA,195515721,0
2612406,PE,16466827,0
2930808,BA,-16971852,0
2608701,PE,735197,0
2912202,BA,-17250659,0
4208955,SC,-1453472,0
5005707,MS,10513445,0
2612703,PE,758405,0
2406809,RN,5661975,0
3505401,SP,9307355,1
3515186,SP,-9716738,1
5221007,GO,-2464593,0
4217808,SC,-3050777,0
3527306,SP,-124054144,1
2804458,SE,9445426,0
5220454,GO,16706574,0
3502200,SP,2315767,1
2511509,PB,19570446,0
3507753,SP,-2374289,1
2314102,CE,1375939,0
2510709,PB,6377656,0
3546207,SP,-1863347,1
2913101,BA,14348635,0
3533403,SP,19088263,1
3523800,SP,-1491614,1
2606002,PE,-4730423,0
1100148,RO,-6902887,0
4303905,RS,14203212,0
2802908,SE,5017262,0
2608404,PE,8326770,0
2910107,BA,5630191,0
2502607,PB,9889488,0
2610202,PE,1441498,0
2512762,PB,-663641,0
4206405,SC,-2644163,0
4311403,RS,-36567285,0
3548708,SP,1514578995,1
2606705,PE,8190609,0
2308377,CE,10542405,0
4319125,RS,-2190769,0
5221858,GO,-117934151,0
2400109,RN,7593911,0
3139003,MG,-7922532,0
2512309,PB,26557203,0
3200706,ES,-7898287,0
3507100,SP,-6163224,1
4127700,PR,-29800510,0
2301000,CE,-16656032,0
4217501,SC,-5594764,0
3545209,SP,-8271713,1
2516300,PB,-5542798,0
4320800,RS,9823050,0
4112207,PR,-1031515,0
2310001,CE,31777226,0
3201506,ES,-2258928,0
3557105,SP,3394122,1
1710904,TO,-551184,0
2507804,PB,16603421,0
2502805,PB,10302967,0
1400159,RR,3646377,0
4200804,SC,-2243487,0
2603504,PE,739726,0
2612000,PE,20963284,0
4209805,SC,-1397600,0
2902401,BA,50157802,0
2606408,PE,61803438,0
2504306,PB,32378719,0
2921005,BA,-19240113,0
2921609,BA,1552533,0
1100049,RO,-11167844,0
2516003,PB,24618367,0
2922730,BA,1862166,0
2400307,RN,7043335,0
4208609,SC,-3670060,0
4109401,PR,6754259,0
3150802,MG,-3281498,0
2611002,PE,1948178,0
3530904,SP,-1339923,1
2613008,PE,3796663,0
2608255,PE,-1974195,0
2301307,CE,12976288,0
3129103,MG,3188328,0
2103703,MA,1359713,0
2608750,PE,4388433,0
2615409,PE,15811203,0
2615904,PE,1789874,0
3506359,SP,-9623174,1
2611903,PE,60031334,0
2612554,PE,3277678,0
2110500,MA,53279394,0
3114006,MG,7689049,0
2102754,MA,22103066,0
2930402,BA,24532017,0
2924801,BA,5405833,0
3523602,SP,-173468,1
2608057,PE,9695914,0
1505304,PA,-1891165,0
1505635,PA,3216941,0
2312106,CE,15691786,0
3101631,MG,-1021491,0
2604007,PE,21389252,0
4322608,RS,18230881,0
4307815,RS,-1552014,0
2305704,CE,7084340,0
2409704,RN,3311598,0
4205100,SC,-1383848,0
4313409,RS,644695253,0
2512903,PB,24922535,0
2500106,PB,5906821,0
4207759,SC,-1860204,0
3127701,MG,-20927179,0
4202859,SC,-2347630,0
3548500,SP,207300098,1
3123858,MG,2757113,0
3513306,SP,-2128918,1
3116605,MG,9443394,0
2512200,PB,-313579,0
3517802,SP,-3389813,1
4201901,SC,-512915,0
3513900,SP,3152757,1
3149606,MG,802282,0
4212270,SC,-4787622,0
3520426,SP,31560560,1
3300100,RJ,-3537471,0
2509602,PB,7234613,0
2512036,PB,2196697,0
2933000,BA,42596842,0
3503901,SP,-47620613,1
2312502,CE,3507271,0
2304954,CE,16425219,0
3122504,MG,591671,0
2403103,RN,19382946,0
2509396,PB,-1602548,0
1400100,RR,-137342718,0
2912905,BA,55308195,0
2510600,PB,-163739,0
2929370,BA,11084830,0
2802403,SE,-259564,0
2926301,BA,39566377,0
4213807,SC,1616240,0
2920106,BA,4645332,0
2616183,PE,-224606,0
